complaint_text,category,priority,department
Authorities have not resolved the child safety concern yet.,Women & Child Safety,High,Women & Child Safety Department
The locality has been affected by road blockage for several days.,Transport,Medium,Transport Department
Citizens have repeatedly reported unsafe pedestrian crossing.,Public Safety,Medium,Public Safety Department
People are suffering because of sewer blockage.,Sewage,High,Sewage Department
People are suffering because of poor housing conditions.,Housing,Medium,Housing Department
The situation is worsening because of industrial smoke.,Pollution,Medium,Pollution Department
Authorities have not resolved the dust pollution yet.,Pollution,Medium,Pollution Department
Residents are facing damaged streetlight pole in the area.,Streetlight,Medium,Streetlight Department
The situation is worsening because of construction without permit.,Illegal Construction,Medium,Illegal Construction Department
The situation is worsening because of lack of toilets in school.,Education,Medium,Education Department
Multiple complaints have been raised about waterlogging.,Flooding,High,Flooding Department
Urgent attention is required due to flooded street.,Flooding,High,Flooding Department
Citizens have repeatedly reported lack of sanitation.,Public Toilets,Medium,Public Toilets Department
Urgent attention is required due to low water pressure.,Water,High,Water Department
Please take immediate action regarding unsafe construction.,Illegal Construction,Medium,Illegal Construction Department
Multiple complaints have been raised about public grievance unresolved.,Government Services,Medium,Government Services Department
There is a serious problem involving garbage accumulation.,Waste,Medium,Waste Department
The locality has been affected by industrial noise for several days.,Noise Pollution,Medium,Noise Pollution Department
The situation is worsening because of transformer failure.,Electricity,High,Electricity Department
Multiple complaints have been raised about lack of sanitation.,Public Toilets,Medium,Public Toilets Department
Residents are facing medicine shortage in the area.,Healthcare,High,Healthcare Department
Citizens have repeatedly reported overflowing dustbins.,Waste,Medium,Waste Department
Please take immediate action regarding abandoned building risk.,Public Safety,Medium,Public Safety Department
There is a serious problem involving rainwater accumulation.,Flooding,High,Flooding Department
People are suffering because of water pollution.,Pollution,Medium,Pollution Department
Citizens have repeatedly reported theft incident.,Crime,High,Crime Department
People are suffering because of irrigation issue.,Agriculture,Medium,Agriculture Department
Authorities have not resolved the construction noise yet.,Noise Pollution,Medium,Noise Pollution Department
Please take immediate action regarding missing extinguishers.,Fire Hazard,High,Fire Hazard Department
There is a serious problem involving ambulance delay.,Healthcare,High,Healthcare Department
Residents are facing wastewater leakage in the area.,Sewage,High,Sewage Department
Urgent attention is required due to dry public taps.,Water,High,Water Department
Please take immediate action regarding sewer blockage.,Sewage,High,Sewage Department
Residents are facing blocked drain in the area.,Drainage,Medium,Drainage Department
The locality has been affected by internet disruption for several days.,Telecom,Medium,Telecom Department
Multiple complaints have been raised about monkey nuisance.,Animal Issues,Medium,Animal Issues Department
Multiple complaints have been raised about housing maintenance issue.,Housing,Medium,Housing Department
The situation is worsening because of unsafe apartment.,Housing,Medium,Housing Department
The locality has been affected by electric line fault for several days.,Electricity,High,Electricity Department
Residents are facing broadband failure in the area.,Telecom,Medium,Telecom Department
The locality has been affected by unsafe classrooms for several days.,Education,Medium,Education Department
The situation is worsening because of poor sanitation in hospital.,Healthcare,High,Healthcare Department
Authorities have not resolved the unclean park yet.,Parks,Low,Parks Department
People are suffering because of bus delay.,Transport,Medium,Transport Department
Authorities have not resolved the damaged benches yet.,Parks,Low,Parks Department
Multiple complaints have been raised about voltage fluctuation.,Electricity,High,Electricity Department
There is a serious problem involving unsafe apartment.,Housing,Medium,Housing Department
Urgent attention is required due to damaged benches.,Parks,Low,Parks Department
